Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6b8uJshhCxmASNCjg5hLJo,Better (feat. Yo Gotti),Thank You (Deluxe Version),Meghan Trainor;Yo Gotti,5/12/2017,167613,40,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:27:41Z,southern hip hop,Epic,0.522,0.77,9,-5.385,0,0.252,0.098,0,0.297,0.677,113.816,5
spotify:track:4e4fqjx0Izh4svvTef1z7e,Meant to Be (feat. Florida Georgia Line),Expectations,Bebe Rexha;Florida Georgia Line,6/22/2018,164205,72,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:27:41Z,"country,pop country,acoustic country",Warner Records,0.642,0.772,10,-6.61,1,0.0848,0.0476,0,0.0646,0.589,153.995,4
spotify:track:4wH4dJgrsxONID6KS2tDQM,Maneater,Loose,Nelly Furtado,1/1/2006,258893,86,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:27:41Z,,Mosley / Geffen,0.796,0.778,6,-4.81,1,0.0397,0.0258,0.000386,0.121,0.789,132.724,4
spotify:track:5YaskwnGDZFDRipaqzbwQx,Your Love (9PM),Your Love (9PM),ATB;Topic;A7S,1/15/2021,150052,73,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:27:41Z,trance,Intercord,0.669,0.784,7,-5.603,1,0.112,0.194,0.00000628,0.115,0.517,125.993,4
spotify:track:2OKo7g3KfmCt3kyLvUAL0g,The Search,The Search,NF,5/30/2019,248040,69,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:27:41Z,christian hip hop,NF Real Music,0.789,0.786,2,-4.788,1,0.297,0.596,0,0.0997,0.39,119.957,4
spotify:track:0TDLuuLlV54CkRRUOahJb4,Titanium (feat. Sia),Nothing but the Beat (Ultimate Edition),David Guetta;Sia,12/7/2012,245040,85,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:27:41Z,edm,Parlophone (France),0.604,0.787,0,-3.674,0,0.103,0.0679,0.15,0.127,0.301,126.062,4
spotify:track:7Gkphzdh5ouurEt7JT49Yu,Come & Get It,Come & Get It,Selena Gomez,1/1/2013,231733,52,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:27:41Z,,Hollywood Records,0.548,0.788,7,-4.115,0,0.0495,0.00905,0.000167,0.0966,0.576,80.047,4
spotify:track:7BqHUALzNBTanL6OvsqmC1,Happier,Happier,Marshmello;Bastille,8/17/2018,214289,83,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:27:41Z,edm,Joytime Collective,0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.011,4
spotify:track:3PfIrDoz19wz7qK7tYeu62,Don't Start Now,Future Nostalgia,Dua Lipa,3/27/2020,183290,83,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:27:41Z,pop,Warner Records,0.793,0.793,11,-4.521,0,0.083,0.0123,0,0.0951,0.679,123.95,4
spotify:track:0pGXe7umwkcCm01Ipoxp0U,GIRL,GIRL,Maren Morris,3/8/2019,250664,54,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:27:41Z,country,Columbia Nashville,0.44,0.793,6,-3.95,1,0.0501,0.0677,0,0.0788,0.447,143.603,4
spotify:track:0pGXe7umwkcCm01Ipoxp0U,GIRL,GIRL,Maren Morris,3/8/2019,250664,54,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:27:41Z,country,Columbia Nashville,0.44,0.793,6,-3.95,1,0.0501,0.0677,0,0.0788,0.447,143.603,4
spotify:track:02dRkCEc8Q5ch4TTcnLxOn,Nothing Breaks Like a Heart (feat. Miley Cyrus),Late Night Feelings,Mark Ronson;Miley Cyrus,6/21/2019,217099,77,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:27:41Z,,Columbia,0.601,0.794,7,-5.844,0,0.0671,0.00987,0.00000136,0.418,0.244,114.066,4
spotify:track:0cqRj7pUJDkTCEsJkx8snD,Shake It Off,1989 (Deluxe),Taylor Swift,1/1/2014,219200,82,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:27:41Z,,Taylor Swift,0.647,0.8,7,-5.384,1,0.165,0.0647,0,0.334,0.942,160.078,4
spotify:track:35mvY5S1H3J2QZyna3TFe0,positions,Positions,Ariana Grande,10/30/2020,172324,80,TRUE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:27:41Z,pop,Republic Records,0.737,0.802,0,-4.771,1,0.0878,0.468,0,0.0931,0.682,144.015,4
spotify:track:6b8Be6ljOzmkOmFslEb23P,24K Magic,24K Magic,Bruno Mars,11/18/2016,225983,86,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:27:41Z,,Atlantic Records,0.818,0.803,1,-4.282,1,0.0797,0.034,0,0.153,0.632,106.97,4
spotify:track:0tBbt8CrmxbjRP0pueQkyU,Wolves,Wolves,Selena Gomez;Marshmello,10/25/2017,197993,77,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:27:41Z,edm,Selena Gomez PS,0.725,0.804,11,-4.614,0,0.0422,0.124,0,0.204,0.31,124.996,4
spotify:track:4i2qxFEVVUi8yOYoxB8TCX,Midnight Sky,Plastic Hearts,Miley Cyrus,11/27/2020,223279,71,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:27:41Z,,RCA Records Label,0.699,0.805,4,-5.535,0,0.0345,0.00161,0.00177,0.249,0.232,109.976,4
spotify:track:46lFttIf5hnUZMGvjK0Wxo,Runaway (U & I),Pharmacy,Galantis,6/5/2015,227073,78,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:27:41Z,,Big Beat Records/Atlantic,0.506,0.805,1,-4.119,1,0.0469,0.00711,0.00193,0.0856,0.383,126.008,4
spotify:track:34dx8DACTJsc3rsJdaEIQw,Papaoutai,racine carrée,Stromae,1/1/2013,232146,79,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:27:41Z,french pop,Universal Music Distributed Labels,0.732,0.809,10,-7.264,0,0.0878,0.0266,0,0.0642,0.253,116.015,4
spotify:track:0LH5xRQz5D36FpIkYUFv2e,In Your Arms,Black Star Elephant,Nico & Vinz,2014,205800,51,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:27:41Z,,Warner Records,0.431,0.81,7,-6.051,1,0.0958,0.299,0,0.249,0.674,110.118,4
spotify:track:3bWAqKDWg6u1davspr5IkS,OK,OK,Robin Schulz;James Blunt,5/19/2017,189306,65,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:27:41Z,tropical house,WM Germany,0.653,0.81,7,-6.032,0,0.0558,0.118,0,0.126,0.583,121.951,4
spotify:track:6cDPJqKw8PUBw5SigKszrL,Want You In My Room,Dedicated,Carly Rae Jepsen,5/17/2019,166293,43,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:27:41Z,,Schoolboy/Interscope Records,0.669,0.812,10,-5.865,0,0.0942,0.00883,0.000513,0.0937,0.328,96.917,4
spotify:track:1ABvDz0JnQGO8M8NYjRNMp,Don’t Feel Like Crying,Sucker Punch,Sigrid,3/8/2019,157010,50,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:27:41Z,norwegian pop,Universal-Island Records Ltd.,0.749,0.814,5,-3.769,0,0.0404,0.156,0,0.0673,0.714,119.964,4
spotify:track:5tf1VVWniHgryyumXyJM7w,Sugar (feat. Francesco Yates),Sugar,Robin Schulz;Francesco Yates,9/25/2015,219043,81,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:27:41Z,tropical house,Tonspiel,0.636,0.815,5,-5.098,0,0.0581,0.0185,0,0.163,0.636,123.063,4
spotify:track:6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,Fine Line,Harry Styles,12/13/2019,173991,87,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:27:41Z,,Columbia,0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,4
spotify:track:1zB4vmk8tFRmM9UULNzbLB,Thunder,Evolve,Imagine Dragons,6/23/2017,187146,86,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:52:03Z,,Kid Ina Korner / Interscope,0.604,0.822,0,-4.833,1,0.0438,0.00672,0.134,0.147,0.288,167.997,4
